filename,chip,contact,device_id,condition,run_number,timestamp,file_type,smu_channel,n_points,dual_sweep,sweep_sign,v_max_V,switching_state,v_set_V,v_reset_V,i_on_A,i_off_A,on_off_ratio,hysteresis_window_V,current_limit_A,error,row_block,electrode,column,tcode,channel_length,pop
Chip#14-FC1-T12-I-V Characterizer-1 Run 45 2024-08-30T16.21.54.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.542496e-12,3.254413e-14,78.12,,0.01,,F,6,1,T12,1,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 46 2024-08-30T16.23.04.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.709866e-12,3.254413e-14,83.27,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 47 2024-08-30T16.23.42.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.550864e-12,3.254413e-14,78.38,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 48 2024-08-30T16.24.54.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.542496e-12,3.254413e-14,78.12,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 49 2024-08-30T16.27.12.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.383494e-12,3.254413e-14,73.24,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 51 2024-08-30T16.28.03.csv,,,,,,,,SMU-2,3999,Enabled,1,1.0,already_on,,,2.310276e-12,3.254413e-14,70.99,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 52 2024-08-30T16.28.38.csv,,,,,,,,SMU-2,3999,Enabled,1,10.0,already_on,,,2.608218e-11,8.041858e-13,32.43,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 53 2024-08-30T16.29.39.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.207875e-12,3.254413e-14,67.84,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 54 2024-08-30T16.31.53.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.212995e-12,3.254413e-14,68.0,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 55 2024-08-30T16.32.50.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.040505e-12,3.254413e-14,62.7,,0.01,,F,6,1,T24,2,non_switching
Chip#14-FC1-T24-I-V Characterizer-1 Run 56 2024-08-30T16.39.11.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,0.0100155,8.230879e-08,121682.02,,0.01,,F,6,1,T24,2,switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 57 2024-08-30T16.42.57.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,2.207875e-12,3.254413e-14,67.84,,0.01,,F,6,4,T12,1,non_switching
Chip#14-FC4-T12-I-V Characterizer-1 Run 58 2024-08-30T16.44.45.csv,,,,,,,,SMU-2,3999,Enabled,1,0.5,already_on,,,1.873136e-12,3.254413e-14,57.56,,0.01,,F,6,4,T12,1,non_switching
