filename,chip,contact,device_id,condition,run_number,timestamp,file_type,smu_channel,n_points,dual_sweep,sweep_sign,v_max_V,switching_state,v_set_V,v_reset_V,i_on_A,i_off_A,on_off_ratio,hysteresis_window_V,current_limit_A,error
Chip#1-CC1-T14-MemEffect-Dark I-V Characterizer-1 Run 33 2024-08-15T16.38.34.csv,Chip#1,CC1,T14,MemEffect-Dark,33,2024-08-15T16.38.34,run,SMU-2,3999,Enabled,-1,20.0,switched,-12.8264,-3.3617,1.583281e-05,1.036525e-12,15274893.97,9.4647,0.1,
Chip#1-CC1-T14-MemEffect-Dark I-V Characterizer-1 Run 35 2024-08-15T16.39.44.csv,Chip#1,CC1,T14,MemEffect-Dark,35,2024-08-15T16.39.44,run,SMU-2,3999,Enabled,1,20.0,switched,19.4097,1.4207,9.477862e-06,3.671646e-13,25813658.94,17.989,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight I-V Characterizer-1 Run 36 2024-08-15T16.42.27.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight,36,2024-08-15T16.42.27,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002903898,2.136014e-09,1359494.04,,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight-Dark I-V Characterizer-1 Run 37 2024-08-15T16.43.41.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight-Dark,37,2024-08-15T16.43.41,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002905684,1.471763e-09,1974288.36,,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight-Dark I-V Characterizer-1 Run 39 2024-08-15T16.44.57.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight-Dark,39,2024-08-15T16.44.57,run,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.00335766,2.194729e-09,1529874.44,,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight-Dark I-V Characterizer-1 Run 40 2024-08-15T16.45.26.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight-Dark,40,2024-08-15T16.45.26,run,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.0033908,4.226793e-09,802215.7,,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight-Dark I-V Characterizer-1 Run 41 2024-08-15T16.46.03.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight-Dark,41,2024-08-15T16.46.03,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002876346,3.976613e-09,723315.52,,0.1,
Chip#1-CC1-T14-MemEffect-Dark-ThenLight-Dark I-V Characterizer-1 Run 42 2024-08-15T16.48.50.csv,Chip#1,CC1,T14,MemEffect-Dark-ThenLight-Dark,42,2024-08-15T16.48.50,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002875487,2.631775e-09,1092603.54,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 22 2024-08-15T16.20.23.csv,Chip#1,CC1,T14,MemEffect-reRun,22,2024-08-15T16.20.23,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002951624,2.845703e-09,1037221.35,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 23 2024-08-15T16.21.16.csv,Chip#1,CC1,T14,MemEffect-reRun,23,2024-08-15T16.21.16,run,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.003480696,3.732562e-09,932521.76,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 24 2024-08-15T16.22.05.csv,Chip#1,CC1,T14,MemEffect-reRun,24,2024-08-15T16.22.05,run,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.003502803,3.365463e-09,1040808.72,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 25 2024-08-15T16.22.48.csv,Chip#1,CC1,T14,MemEffect-reRun,25,2024-08-15T16.22.48,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002930847,4.733276e-09,619200.46,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 26 2024-08-15T16.24.19.csv,Chip#1,CC1,T14,MemEffect-reRun,26,2024-08-15T16.24.19,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002936977,2.529662e-09,1161015.85,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 27 2024-08-15T16.24.58.csv,Chip#1,CC1,T14,MemEffect-reRun,27,2024-08-15T16.24.58,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002938762,4.319205e-09,680394.1,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 28 2024-08-15T16.26.03.csv,Chip#1,CC1,T14,MemEffect-reRun,28,2024-08-15T16.26.03,run,SMU-2,3999,Enabled,-1,20.0,already_on,,,0.00344635,1.579493e-09,2181934.02,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 29 2024-08-15T16.26.59.csv,Chip#1,CC1,T14,MemEffect-reRun,29,2024-08-15T16.26.59,run,SMU-2,3999,Enabled,1,20.0,already_on,,,0.002921083,8.030753e-10,3637371.22,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 30 2024-08-15T16.29.34.csv,Chip#1,CC1,T14,MemEffect-reRun,30,2024-08-15T16.29.34,run,SMU-2,3999,Enabled,1,5.0015,already_on,,,0.0008275855,1.239777e-06,667.53,,,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 31 2024-08-15T16.32.07.csv,Chip#1,CC1,T14,MemEffect-reRun,31,2024-08-15T16.32.07,run,SMU-2,3999,Enabled,-1,20.0226,already_on,,,0.003447169,4.687419e-09,735408.7,,0.1,
Chip#1-CC1-T14-MemEffect-reRun I-V Characterizer-1 Run 32 2024-08-15T16.35.20.csv,Chip#1,CC1,T14,MemEffect-reRun,32,2024-08-15T16.35.20,run,SMU-2,3999,Enabled,1,20.0199,already_on,,,0.002907298,1.779053e-09,1634182.43,,0.1,
