filename,chip,contact,device_id,condition,run_number,timestamp,file_type,smu_channel,n_points,dual_sweep,sweep_sign,v_max_V,switching_state,v_set_V,v_reset_V,i_on_A,i_off_A,on_off_ratio,hysteresis_window_V,current_limit_A,error
Chip#14-ED4-T14-I-V Characterizer-1 Run 44 2024-08-30T16.18.20.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.550864e-12,3.254413e-14,78.38,,0.01,
Chip#14-ED4-T24-I-V Characterizer-1 Run 43 2024-08-30T16.16.29.csv,,,,,,,,SMU-2,3999,Enabled,1,0.4,already_on,,,2.542496e-12,3.254413e-14,78.12,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 100 2024-08-30T17.19.16.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.009358522,2.217509e-08,422028.67,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 101 2024-08-30T17.19.53.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.009195294,1.968781e-08,467055.29,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 102 2024-08-30T17.20.20.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.008950125,6.403857e-09,1397614.59,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 103 2024-08-30T17.20.57.csv,,,,,,,,SMU-2,3999,Enabled,1,12.0,already_on,,,0.008881027,1.025457e-08,866055.14,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 104 2024-08-30T17.21.32.csv,,,,,,,,SMU-2,3999,Enabled,-1,12.0,already_on,,,0.008798744,1.451919e-08,606007.84,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 105 2024-08-30T17.22.05.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01007782,1.600542e-08,629650.6,,0.01,
Chip#14-FA4-T12-I-V Characterizer-1 Run 106 2024-08-30T17.22.40.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01127451,1.820158e-08,619424.75,,0.02,
Chip#14-FA4-T12-I-V Characterizer-1 Run 107 2024-08-30T17.23.06.csv,,,,,,,,SMU-2,3999,Enabled,-1,15.0,already_on,,,0.01288294,2.136812e-08,602904.48,,0.02,
